test_id,PM2.5,PM10,O3
aotizhongxin_aq#0,54.06156539916992,101.31591033935547,110.45709991455078
aotizhongxin_aq#1,50.14603042602539,101.15071868896484,103.32991027832031
aotizhongxin_aq#2,46.507354736328125,101.1287841796875,91.49878692626953
aotizhongxin_aq#3,48.26879119873047,114.32951354980469,84.45465087890625
aotizhongxin_aq#4,44.820594787597656,102.00152587890625,83.03361511230469
aotizhongxin_aq#5,45.23451232910156,101.7116928100586,83.597412109375
aotizhongxin_aq#6,45.23451232910156,101.7116928100586,86.78114318847656
aotizhongxin_aq#7,45.23451232910156,100.14654541015625,87.23168182373047
aotizhongxin_aq#8,46.00883102416992,100.14654541015625,90.22713470458984
aotizhongxin_aq#9,48.88380432128906,110.99302673339844,94.01211547851562
aotizhongxin_aq#10,55.936134338378906,112.30712127685547,105.20817565917969
aotizhongxin_aq#11,58.348609924316406,144.5059051513672,99.72358703613281
aotizhongxin_aq#12,58.81446075439453,118.86882781982422,94.08258819580078
aotizhongxin_aq#13,63.563594818115234,119.29222869873047,101.78582763671875
aotizhongxin_aq#14,63.563594818115234,119.29222869873047,105.73629760742188
aotizhongxin_aq#15,63.563594818115234,119.29222869873047,111.12509155273438
aotizhongxin_aq#16,66.79129791259766,118.86882781982422,102.0123062133789
aotizhongxin_aq#17,62.87576675415039,144.5059051513672,92.71903991699219
aotizhongxin_aq#18,58.07069396972656,142.90267944335938,88.09066009521484
aotizhongxin_aq#19,57.201438903808594,142.90267944335938,74.67365264892578
aotizhongxin_aq#20,40.58483123779297,98.26986694335938,81.87692260742188
aotizhongxin_aq#21,39.332191467285156,98.26986694335938,83.338623046875
aotizhongxin_aq#22,44.294219970703125,100.14654541015625,76.96841430664062
aotizhongxin_aq#23,44.406681060791016,101.7116928100586,78.94036102294922
aotizhongxin_aq#24,54.18479537963867,102.0401840209961,59.75770950317383
aotizhongxin_aq#25,54.18479537963867,102.0401840209961,59.75770950317383
aotizhongxin_aq#26,54.18479537963867,102.0401840209961,56.43777847290039
aotizhongxin_aq#27,54.18479537963867,102.0401840209961,56.43777847290039
aotizhongxin_aq#28,54.18479537963867,100.47503662109375,55.87750244140625
aotizhongxin_aq#29,64.86573028564453,177.15013122558594,44.948551177978516
aotizhongxin_aq#30,64.86573028564453,177.15013122558594,44.17111587524414
aotizhongxin_aq#31,56.8889045715332,177.15013122558594,47.07808303833008
aotizhongxin_aq#32,56.8889045715332,155.6682586669922,48.216251373291016
aotizhongxin_aq#33,56.8889045715332,155.6682586669922,48.99827575683594
aotizhongxin_aq#34,56.8889045715332,155.6682586669922,48.99827575683594
aotizhongxin_aq#35,56.8889045715332,155.6682586669922,50.42050552368164
aotizhongxin_aq#36,56.8889045715332,161.42091369628906,55.98750305175781
aotizhongxin_aq#37,57.320396423339844,179.99119567871094,71.21961212158203
aotizhongxin_aq#38,54.36988830566406,103.65557098388672,105.62997436523438
aotizhongxin_aq#39,57.89691162109375,104.2271957397461,122.20337677001953
aotizhongxin_aq#40,58.3339958190918,105.34716033935547,124.36473846435547
aotizhongxin_aq#41,57.6807975769043,105.91417694091797,110.29457092285156
aotizhongxin_aq#42,67.6922607421875,149.6612091064453,90.51636505126953
aotizhongxin_aq#43,67.6922607421875,149.6612091064453,81.24832916259766
aotizhongxin_aq#44,67.6922607421875,149.6612091064453,77.48245239257812
aotizhongxin_aq#45,67.31478118896484,175.2982635498047,79.59185791015625
aotizhongxin_aq#46,64.63168334960938,172.5085906982422,72.57032775878906
aotizhongxin_aq#47,63.78316116333008,172.5085906982422,55.7830810546875
